Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
4 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦30,000,000per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3307387-fully-well-furnished-4-bedroom-terrace-duplex
3 bedroom terraced duplex for rent,"Ikate, Lekki, Lagos","₦13,000,000per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ikate/3305351-luxury-3-bedroom-terrace-duplex-with-excellent-facility
5 bedroom semi-detached duplex for rent,"Cowrie Creek, Ikate  Lekki, Ikate, Lekki, Lagos","₦40,000,000per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/ikate/3306241-5-bedroom-semi-detached-duplex
1 bedroom mini flat (room and parlour) for rent,"Ikate, Lekki, Lagos","₦7,500,000per annum",1,2,2,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/3305738-newly-built-mini-flat-available
4 bedroom detached duplex for rent,"Ikate, Lekki, Lagos","₦30,000,000per annum",4,5,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/3306637-luxury-4bedrooms-detached-duplex-with-swimming-pool-and-gym
5 bedroom detached duplex for rent,"Ikate, Lekki, Lagos","₦35,000,000per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/ikate/3305290-luxury-5-bedroom-detached-duplex-with-excellent-facility
3 bedroom house for rent,"Safecourt Apartmentgos., Ikate, Lekki, Lagos","₦7,500,000per annum",3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/ikate/3304710-fully-serviced-spacious-3bedrooms-apartment-with-a-1-room-bq-in-a-code
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦20,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307983-furnished-2-bedroom-apartment-with-elevator-swimming-pool-and-gym
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦12,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307939-a-2-bedroom-flat
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦17,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307669-luxury-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307407-luxury-furnished-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307318-furnished-2-bedrooms-apartments
3 bedroom flat / apartment for rent,"Inside A Secured Estate Off Freedom Way, Ikate, Lekki, Lagos","₦18,000,000per annum",3,4,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3306721-fully-furnished-3-bedroom-luxury-apartment
2 bedroom flat / apartment for rent,"Inside An Estate, Ikate, Lekki, Lagos","₦12,000,000per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3306710-lovely-2-bedroom-spacious-and-luxury-apartment
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3305971-2
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦10,000,000per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3305748-fully-furnished-and-automated-two-bedroom-apartment
2 bedroom flat / apartment for rent,"Salem, Ikate, Lekki, Lagos","₦16,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3305635-a-contemporary-furnished-2-bedroom-apartment
2 bedroom flat / apartment for rent,"Spar Road, Ikate, Lekki, Lagos","₦16,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3305495-furnished-2-bedrooms-flat-with-bq
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",3,0,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3305073-3-bedroom-apartment-with-bq
2 bedroom flat / apartment for rent,"Ikate, Ilasan, Lekki, Lagos","₦7,000,000per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ilasan/3307224-luxury-2-bedroom-apartment-all-room-ensuite
2 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos","₦15,000,000per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/ikate/3307219-brand-new-2-bedroom-with-pool-and-gym
4 bedroom terraced duplex for rent,"Ologolo, Lekki, Lagos","₦12,000,000per annum",4,5,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/lekki/ologolo/3307213-luxury-4-bedroom-terrace-bq
4 bedroom semi-detached duplex for rent,"Orchid, Lekki, Lagos","₦9,000,000per annum",4,5,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/3307208-newly-built-4-bedroom-semi-detached-duplex-with-bq
