,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
2917,Luxurious 5 Bedroom  Duplex With Boy's Quaters,"Royal Garden Estate, Sangotedo, Ajah, Lagos","₦ 450,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/sangotedo/2766897-luxurious-5-bedroom-duplex-with-boys-quaters
2918,2 And Half Plots Of Mixed-use Land In A Gated Neighborhood.,"Tunde Afolabi Street By Gtbank, Ado, Ajah, Lagos","₦ 250,000,000",,N/A,N/A,Mixed-use land for sale,https://nigeriapropertycentre.com/for-sale/land/mixed-use-land/lagos/ajah/ado/2665744-2-and-half-plots-of-mixed-use-land-in-a-gated-neighborhood
2919,Lovely 4 Bedroom Fully Detached Duplex,"Ajah, Lagos","₦ 260,000,000",4 Bedrooms,4 Bathrooms,4 Toilets,4 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2704550-lovely-4-bedroom-fully-detached-duplex
2920,Brand New 4 Bedroom Fully Detached Duplex,"Ajah, Lagos","₦ 150,000,000",4 Bedrooms,5 Bathrooms,5 Toilets,4 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2735876-brand-new-4-bedroom-fully-detached-duplex
2921,A Mini Flat,"Chevron, Lekki, Lagos","₦ 65,000,000",1 Bedroom,1 Bathroom,2 Toilets,1 bedroom mini flat (room and parlour) for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/mini-flats/lagos/lekki/2735214-a-mini-flat
2922,Elegant Finished 5 Bedroom Smart Home,"Ajah, Lagos","₦ 250,000,000",5 Bedrooms,5 Bathrooms,5 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2729683-elegant-finished-5-bedroom-smart-home
2923,Spacious 5 Bedroom Detached Duplex & Vacant Land Sitting On 709sqms,"Divine Homes Estate, Inside Thomas Estate, Ajah, Lagos","₦ 270,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2924,Tastefully Finished 5 Bedroom Detached Duplex,"Ajah, Lagos","₦ 280,000,000",5 Bedrooms,5 Bathrooms,5 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2704829-tastefully-finished-5-bedroom-detached-duplex
2925,4 Bedroom Semi-detached Duplex,"Ajah, Lagos","₦ 140,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2695098-4-bedroom-semi-detached-duplex
2926,Luxury 4 Bedroom,"Lekki Palm City, Ajah, Lagos","₦ 160,000,000",4 Bedrooms,N/A,5 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2688360-luxury-4-bedroom
2927,A Beautiful 4 Bedroom Fully Detached Duplex,"Lekki Palm City Estate, Ajah, Lagos","₦ 150,000,000",4 Bedrooms,4 Bathrooms,4 Toilets,4 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2686183-a-beautiful-4-bedroom-fully-detached-duplex
2928,2 Plots Of Land In A Developing Neighborhood,"Sangotedo, Ajah, Lagos","₦ 60,000,000","1,554 sqm Total Area",N/A,N/A,Residential land for sale,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ajah/sangotedo/2668748-2-plots-of-land-in-a-developing-neighborhood
2929,Standard 3 Bedroom Bungalow In A Nice Area,"Thomas Estate, Ajah, Lagos","₦ 60,000,000",3 Bedrooms,3 Bathrooms,3 Toilets,3 bedroom detached bungalow for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-bungalows/lagos/ajah/2667169-standard-3-bedroom-bungalow-in-a-nice-area
2930,Fully Fenced Land  Measuring 650square Meters,"Awoyaya, Ibeju Lekki, Lagos","₦ 40,000,000",650 sqm Total Area,N/A,N/A,Residential land for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2931,Brand New 5 Bedroom Fully Detached Duplex Pool/cinema/gym,"Orchid Hotel Rd, Lekki, Lagos","₦ 450,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2932,4 Bedroom Semi-detached Duplex,"Ajah, Lagos","₦ 125,000,000",4 Bedrooms,4 Bathrooms,4 Toilets,4 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/2657843-4-bedroom-semi-detached-duplex
2933,Fully Serviced 2 Bedroom Terraces With 1rm Bq,"Ajayi Apata, Sangotedo, Ajah, Lagos","₦ 105,000,000",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2934,Best Value For Money,"Genesis Court Phase2 Estate Beside Cooperative Villa Estate, Badore, Ajah, Lagos","₦ 155,000",,N/A,N/A,Residential land for sale,https://nigeriapropertycentre.com/cdn-cgi/l/email-protection
2935,Luxury 5 Bedroom Duplex With Paint House,"Ajah, Lagos","₦ 550,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom house for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/2649056-luxury-5-bedroom-duplex-with-paint-house
2936,Contemporary 5 Bedrooms Semi-detached Duplex On 3 Floors,"Atlantic Nominee Estate, Before Lbs, Alasia, Ajah, Lagos","₦ 150,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/ajah/alasia/2647508-contemporary-5-bedrooms-semi-detached-duplex-on-3-floors
2937,Luxury Maisonnette Duplex,"Lekki Scheme 1, Ajah, Lagos","₦ 150,000,000",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom house for sale,https://nigeriapropertycentre.com/for-sale/houses/lagos/ajah/3301136-luxury-maisonnette-duplex
2938,Luxury Secured Residential 920sqm Land In A Secured Estate 24hrs Power,"Royal Gardens Estate, Ajah, Lagos","₦ 340,000,000",920 sqm Total Area,N/A,N/A,Residential land for sale,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/ajah/2643475-luxury-secured-residential-920sqm-land-in-a-secured-estate-24hrs-power
2939,Luxury 3 Bedrooms Duplex + Bq,"Lekki Scheme 2, Ajah, Lagos","₦ 130,000,000",3 Bedrooms,3 Bathrooms,5 Toilets,3 bedroom terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/ajah/2632090-luxury-3-bedrooms-duplex-bq
2940,5 Bedrooms Duplex + 3 Rooms Bq,"Royal Garden Estate, Ajah, Lagos","₦ 450,000,000",5 Bedrooms,5 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2621203-5-bedrooms-duplex-3-rooms-bq
2941,Luxury 5 Bedroom Fully Detached Duplex With Bq,"Ajah, Lagos","₦ 650,000,000",5 Bedrooms,6 Bathrooms,6 Toilets,5 bedroom detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/ajah/2620375-luxury-5-bedroom-fully-detached-duplex-with-bq
2942,Available Buy And Build Plots Of Land,"Excellence Garden Ibeju-lekki Epe Express Way, Ibeju Lekki, Lagos","₦ 18,000,000",600 sqm Total Area,N/A,N/A,Residential land for sale,https://nigeriapropertycentre.com/for-sale/land/residential-land/lagos/lekki-ibeju/2612805-available-buy-and-build-plots-of-land
2943,500 Square Meters Land,"Abraham Adesanya, Ajah, Lagos","₦ 140,000,000",500 sqm Total Area,N/A,N/A,Land for sale,https://nigeriapropertycentre.com/for-sale/land/lagos/ajah/2605633-500-square-meters-land
